semester,cgpa,attendance,average_marks,highest_marks,lowest_marks,target
4,9.34,80.97,85.49,100.0,84.87,Low
2,7.68,63.81,78.85,85.97,70.0,Moderate
2,5.49,88.23,52.36,56.91,43.15,High
6,6.65,72.37,71.64,77.82,64.51,Moderate
4,6.65,60.48,61.37,65.73,52.97,High
6,6.34,81.79,68.11,70.4,59.45,Moderate
2,6.57,56.75,61.16,68.85,59.57,High
5,8.77,80.29,74.86,82.88,63.87,Moderate
1,7.98,66.73,74.91,83.01,63.39,Moderate
1,7.26,66.73,58.84,70.55,54.02,Moderate
8,6.24,60.49,76.85,80.98,69.21,High
5,7.73,64.1,83.25,91.7,68.74,Moderate
7,7.33,63.84,78.18,88.6,69.19,Moderate
3,7.29,68.05,72.25,74.98,64.47,Moderate
3,7.67,77.8,88.52,98.39,79.27,Low
6,9.92,100.0,96.62,99.46,94.73,Low
6,6.75,70.99,67.01,73.25,59.49,High
4,6.42,86.43,82.34,85.76,79.67,Moderate
8,9.83,68.64,93.21,96.9,86.26,Low
7,8.81,69.18,79.06,83.26,68.6,Low
1,7.79,54.71,71.36,83.53,56.32,High
4,8.09,74.91,76.81,88.63,66.28,Moderate
5,6.97,100.0,83.44,89.73,75.16,Low
1,6.49,84.23,60.46,68.29,52.57,High
3,7.96,83.24,94.43,100.0,84.6,Low
8,7.79,87.5,73.32,81.92,66.57,Low
4,7.04,86.88,79.51,86.85,66.18,Moderate
6,7.44,94.8,83.63,95.62,73.25,Moderate
8,6.31,70.74,63.04,75.96,54.19,High
5,6.96,66.51,65.68,68.6,58.83,High
7,9.68,84.29,92.17,96.51,84.57,Low
8,6.38,86.88,66.29,75.84,65.9,Moderate
8,7.66,82.67,68.75,74.41,60.54,Moderate
1,8.03,85.88,78.82,85.63,63.99,Low
6,6.66,75.62,74.04,77.61,58.87,Moderate
2,7.87,100.0,83.45,86.37,73.12,Low
5,7.37,56.34,76.39,81.7,66.6,Moderate
6,9.78,86.91,98.0,100.0,83.04,Low
5,9.05,77.03,85.51,94.57,81.85,Low
5,9.0,91.4,96.62,100.0,81.96,Low
2,7.62,83.76,89.74,97.24,81.04,Low
4,7.8,72.48,75.34,85.81,69.28,Moderate
3,5.1,66.0,59.42,63.98,50.07,High
3,8.3,80.11,93.84,100.0,89.58,Low
7,7.01,71.93,54.29,56.86,43.9,High
1,6.13,92.46,65.09,72.23,55.58,Moderate
2,7.41,97.04,85.29,97.99,76.09,Low
4,8.55,89.17,86.59,98.42,84.82,Low
2,7.18,83.96,77.01,85.61,74.02,Moderate
2,9.7,100.0,96.4,97.78,88.92,Low
7,7.55,86.65,87.09,88.52,73.28,Low
8,7.09,91.38,74.3,82.09,66.82,Moderate
3,5.92,76.37,62.16,71.71,49.28,High
4,6.92,85.98,67.71,74.53,62.74,Moderate
2,8.54,98.7,78.63,84.13,68.17,Low
7,9.49,69.39,94.04,96.38,85.17,Low
4,8.56,90.89,81.69,87.01,76.51,Low
4,6.57,72.53,74.98,85.21,65.39,Moderate
7,7.89,89.04,67.3,77.65,60.03,Moderate
3,7.5,76.83,80.9,90.48,72.7,Moderate
1,8.83,79.61,90.3,100.0,80.12,Low
1,8.55,88.34,89.34,100.0,80.91,Low
1,8.94,89.26,82.54,93.21,64.75,Low
1,8.38,62.36,73.16,73.17,62.22,Moderate
5,9.21,88.22,69.3,72.66,55.39,Moderate
7,9.67,89.53,93.78,100.0,87.12,Low
3,8.09,88.49,81.98,85.6,68.77,Low
3,10.0,99.33,94.62,97.04,89.33,Low
2,9.39,85.57,91.34,92.8,74.34,Low
1,7.33,94.31,81.56,88.35,74.94,Low
2,9.08,95.6,81.46,88.75,73.31,Low
2,7.79,100.0,83.64,87.14,82.26,Low
2,6.97,62.59,83.08,86.1,65.93,Moderate
1,7.4,75.16,85.37,95.73,72.16,Moderate
7,10.0,87.1,98.0,100.0,89.98,Low
4,7.86,93.34,59.44,66.35,48.45,Moderate
1,8.65,64.34,77.3,90.38,71.6,Moderate
3,6.34,64.82,59.08,64.84,51.0,High
8,6.82,100.0,75.6,87.05,72.54,Moderate
1,8.4,79.15,88.46,100.0,78.5,Low
2,6.68,54.75,67.21,72.88,54.65,High
3,9.43,62.6,74.56,79.04,70.32,Moderate
8,5.68,73.85,66.66,73.47,57.03,High
7,6.85,73.77,68.03,76.38,51.14,Moderate
2,8.63,97.62,88.27,88.49,83.55,Low
6,7.66,100.0,90.23,95.1,74.83,Low
2,8.09,98.93,98.0,100.0,85.73,Low
1,8.91,90.23,94.77,99.63,82.49,Low
5,7.13,79.08,75.1,87.89,70.34,Moderate
8,9.07,83.16,98.0,100.0,90.09,Low
2,8.43,97.27,86.03,93.0,85.37,Low
4,6.93,95.7,77.46,80.68,66.54,Moderate
3,7.24,68.23,71.92,77.16,70.0,Moderate
8,7.62,100.0,75.27,75.95,57.47,Low
3,10.0,89.99,89.76,100.0,79.12,Low
6,7.92,72.5,71.71,77.73,57.76,Moderate
1,6.15,100.0,64.93,68.91,59.29,Moderate
3,8.59,96.84,88.51,100.0,81.13,Low
7,6.72,76.48,76.57,87.05,68.06,Moderate
1,8.16,100.0,86.59,88.42,74.76,Low
1,9.56,84.4,89.1,100.0,86.27,Low
2,7.24,80.88,83.78,93.7,77.48,Low
2,8.23,98.7,78.52,82.59,70.9,Low
8,8.75,75.96,86.35,96.89,79.1,Low
7,10.0,90.26,96.48,100.0,86.37,Low
5,7.59,75.47,71.49,77.8,59.5,Moderate
8,8.18,88.84,82.26,89.26,71.69,Low
1,5.33,77.44,62.4,64.95,60.41,High
6,7.27,89.76,82.06,93.16,69.53,Low
4,6.68,75.2,74.08,75.59,63.64,Moderate
5,6.4,82.37,81.43,89.51,68.59,Moderate
8,6.38,86.45,54.36,64.51,43.95,High
5,5.86,70.46,64.96,77.26,51.35,High
2,7.98,84.57,78.61,91.24,72.69,Moderate
5,8.66,84.25,93.07,100.0,83.97,Low
7,7.44,66.24,79.49,83.27,75.15,Moderate
4,6.91,90.3,79.56,89.57,65.63,Low
1,8.74,100.0,89.73,94.48,82.06,Low
5,8.14,100.0,82.87,91.22,65.55,Low
2,5.38,72.2,68.15,78.93,63.05,High
2,8.93,67.82,86.48,94.95,83.48,Low
7,8.39,75.2,89.83,89.84,87.25,Low
5,6.77,91.29,73.1,75.31,61.37,Moderate
7,10.0,100.0,98.0,100.0,93.16,Low
6,6.2,75.59,66.72,74.05,63.6,High
8,8.93,100.0,96.18,100.0,84.89,Low
4,4.95,55.53,52.63,62.02,43.71,High
1,7.34,73.24,64.11,73.57,54.97,High
4,9.93,70.5,78.27,85.05,72.27,Low
8,6.89,78.84,69.8,80.59,57.82,Moderate
5,8.35,100.0,92.83,100.0,85.5,Low
5,7.12,91.6,61.39,74.77,46.32,Moderate
2,9.63,100.0,94.98,100.0,87.77,Low
4,8.11,79.41,77.42,84.84,71.23,Low
5,5.9,74.32,59.26,68.81,47.43,High
5,4.95,65.57,49.65,55.91,33.51,High
3,7.62,97.54,76.16,79.83,69.52,Low
8,7.61,81.01,76.61,87.66,67.31,Low
6,8.16,85.58,91.83,96.0,84.52,Low
8,7.5,68.11,66.48,75.97,60.72,Moderate
8,8.4,85.82,84.46,87.01,70.19,Low
7,7.77,71.04,77.74,86.32,70.43,Moderate
7,7.78,78.4,72.61,83.27,64.74,Moderate
3,8.14,100.0,87.07,91.61,76.81,Low
2,6.8,85.88,78.91,80.99,76.27,Low
4,7.48,82.93,72.0,79.38,63.34,Moderate
5,10.0,95.45,82.17,85.55,76.43,Low
3,9.36,100.0,97.66,100.0,92.24,Low
2,6.54,74.5,59.19,65.06,46.78,High
2,7.73,73.69,71.21,74.37,56.38,Moderate
1,7.84,81.86,70.54,70.88,68.04,Moderate
8,7.37,80.04,68.65,74.67,60.79,Moderate
4,6.99,68.14,65.23,78.81,57.66,High
8,6.09,84.28,76.79,80.5,60.89,Moderate
1,7.67,81.36,67.69,78.19,50.74,Moderate
5,7.64,80.18,73.03,75.49,58.86,Moderate
6,5.5,87.08,76.77,88.16,68.42,Moderate
2,9.31,99.64,94.25,100.0,80.45,Low
3,7.28,78.71,81.96,89.1,67.44,Moderate
3,8.37,91.25,95.34,97.74,88.88,Low
5,5.76,100.0,69.47,77.73,53.63,Moderate
3,6.21,84.82,65.64,70.85,57.74,Moderate
1,7.32,88.02,84.69,93.6,76.27,Moderate
5,6.03,81.66,60.44,66.61,51.45,High
3,6.88,58.42,61.67,70.4,52.0,High
1,7.5,73.66,82.77,87.76,72.93,Moderate
5,7.78,80.9,75.36,84.12,67.31,Moderate
6,7.64,96.46,78.25,89.61,73.62,Low
6,6.81,70.16,59.8,65.99,47.01,Moderate
5,7.95,95.51,81.11,90.61,77.14,Low
8,9.65,87.63,90.23,94.64,84.09,Low
6,7.32,54.34,64.31,69.39,55.46,High
7,8.86,84.24,71.36,80.35,61.88,Low
5,8.27,100.0,85.42,85.82,73.7,Low
4,9.3,86.61,87.63,100.0,78.34,Low
2,7.01,72.77,93.83,100.0,79.63,Moderate
3,7.57,80.45,82.25,86.94,75.74,Low
2,8.7,76.38,82.51,93.45,74.21,Moderate
1,7.36,100.0,79.68,88.24,65.07,Moderate
8,6.78,78.45,70.49,71.42,57.46,Moderate
